tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0278891,movie,"Oh, Belinda",Aaahh Belinda,0,1986,\N,100,"Comedy,Fantasy",7.8,3583
tt0279037,movie,Heart of America,Heart of America,0,2002,\N,87,Drama,4.4,2719
tt0279064,movie,Elling,Elling,0,2001,\N,89,"Comedy,Drama",7.5,15916
tt0279065,movie,Time Out,L'emploi du temps,0,2001,\N,134,Drama,7.3,5042
tt0279111,movie,Gods and Generals,Gods and Generals,0,2003,\N,219,"Biography,Drama,History",6.2,17260
tt0279112,movie,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",Gojira Mosura Kingu Gidora Daikaijû sôkôgeki,0,2001,\N,105,"Action,Adventure,Drama",7.0,7142
tt0279113,movie,The Good Girl,The Good Girl,0,2002,\N,93,"Drama,Romance",6.4,47588
tt0279173,movie,Keloglan,Keloglan,0,1971,\N,90,"Comedy,Fantasy",6.4,1833
tt0279231,movie,Miss Minoes,Minoes,0,2001,\N,86,"Comedy,Family,Fantasy",6.9,5481
tt0279248,movie,Dudes,Munje!,0,2001,\N,90,Comedy,7.9,8090
tt0279286,movie,On the Line,On the Line,0,2001,\N,85,"Comedy,Family,Romance",4.2,4419
tt0279331,movie,Dark Blue,Dark Blue,0,2002,\N,118,"Crime,Drama,Thriller",6.6,24233
tt0279493,movie,Undercover Brother,Undercover Brother,0,2002,\N,86,"Action,Comedy",5.9,36399
tt0279657,movie,"Devil, My Friend",Arkadasim Seytan,0,1988,\N,90,"Comedy,Fantasy,Musical",6.9,1564
tt0279688,movie,Beyond the Wall of Sleep,Beyond the Wall of Sleep,0,2006,\N,84,Horror,2.9,1149
tt0279695,movie,Blackwoods,Blackwoods,0,2001,\N,92,"Drama,Mystery,Thriller",3.2,2296
tt0279778,movie,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,0,2002,\N,116,Drama,6.1,21032
tt0279781,movie,Sorority Boys,Sorority Boys,0,2002,\N,93,Comedy,5.4,16303
tt0279783,movie,Maids,Domésticas: O Filme,0,2001,\N,85,"Comedy,Drama",7.1,1364
tt0279854,movie,Hasip ile Nasip,Hasip ile Nasip,0,1976,\N,83,Comedy,6.8,1443
tt0279889,movie,Joe Somebody,Joe Somebody,0,2001,\N,98,"Comedy,Drama",5.5,11122
