tconst,directors,writers
tt0107529,nm0001102,"nm0351919,nm0421948"
tt0107554,"nm0400436,nm0400441","nm0400441,nm0400436,nm0931862"
tt0107561,nm0847259,nm0847259
tt0107563,nm0870186,nm0870186
tt0107566,nm0025978,nm0025978
tt0107594,nm0579466,"nm0100736,nm0579466,nm0615556,nm0811807"
tt0107606,nm0800533,"nm0852033,nm0773710,nm7525535"
tt0107611,"nm0001214,nm0000750","nm0744839,nm0188165"
tt0107612,nm0331998,"nm0749493,nm0331998"
tt0107613,nm0005237,"nm0774856,nm0689778"
tt0107614,nm0001060,"nm0277590,nm0802020,nm0228908"
tt0107616,nm0000110,"nm0000636,nm0000110"
tt0107617,nm0870841,nm0870841
tt0107623,nm0351993,"nm0351993,nm0351911,nm0000808"
tt0107625,nm0796361,"nm0073468,nm0233544,nm0246948,nm0796361"
tt0107626,nm0000837,nm0520893
tt0107630,nm0748022,nm0748022
tt0107642,nm0440913,nm0440913
tt0107653,nm0005139,nm0005139
tt0107659,nm0704164,"nm0390998,nm0854416,nm0704164"
tt0107664,"nm0304521,nm0437526,nm0951206","nm0295165,nm0304521,nm0411872,nm0522454,nm0951206"
tt0107665,nm0381699,"nm0000175,nm0725379"
tt0107668,nm0089502,nm0153129
tt0107683,nm0704198,"nm0862652,nm0386726"
tt0107685,nm0500329,nm0500329
tt0107688,nm0783139,"nm0000318,nm0568313,nm0003031"
tt0107692,nm0159109,nm0159109
tt0107711,nm0363553,"nm0000390,nm0549658,nm0092018,nm0271098"
tt0107715,"nm0644016,nm0003766","nm0852023,nm0644016"
tt0107719,nm0001915,nm0178402
tt0107745,nm0343799,"nm0483286,nm0949861,nm0911660"
tt0107750,nm0504802,"nm0504802,nm0261528"
tt0107756,nm0006845,"nm0941173,nm0232924,nm0006845"
tt0107767,nm0315872,"nm0051780,nm0315872"
tt0107777,nm0007181,"nm0159147,nm0409790,nm1574855,nm0713592"
tt0107798,nm0001587,"nm0001300,nm0001587"
tt0107808,nm0000142,nm0359387
tt0107818,nm0001129,nm0638913
tt0107819,nm0180508,"nm0072112,nm0415979,nm0450516,nm1255914,nm0656845"
tt0107822,nm0001005,nm0001005
tt0107840,nm0005436,nm0005436
tt0107843,nm0000824,"nm0000108,nm0315205,nm0785311"
